store,item,mean_sales,sales_std,total_sales,cv
6,5,13.893209200438116,5.187877111908688,25369,0.37330873556516114
7,5,12.733844468784227,4.731280252574304,23252,0.3714498441898696
5,5,14.086527929901424,5.157270627152052,25722,0.366013419513455
7,27,15.213581599123767,5.4785611137822885,27780,0.36001126486927437
6,41,16.60733844468784,5.902563253963172,30325,0.35532164273488326
7,1,15.159364731653888,5.374349268699093,27681,0.3544262931976767
6,27,16.809419496166484,5.9213881186654005,30694,0.3521695968319618
5,41,16.830777656078862,5.922361168138805,30733,0.351780493505591
5,47,16.69934282584885,5.873084145157863,30493,0.35159920981306575
7,47,15.479189485213581,5.432207815765583,28265,0.3508400847589935
6,4,16.754107338444687,5.856016421254839,30593,0.34943149007987306
5,27,16.763417305585982,5.848488683178539,30610,0.3487884903845384
7,4,15.35815991237678,5.325964491329923,28044,0.34668905342428286
7,41,15.471522453450165,5.359565468359591,28251,0.34632000267238133
5,1,16.739320920043813,5.772960910623246,30566,0.3447798124400561
7,16,17.754107338444687,6.122162488164283,32419,0.3447363337219698
6,47,16.708652792990144,5.753141049675685,30510,0.3442267647407449
7,34,17.981380065717413,6.168206902799625,32834,0.3429390655630289
1,5,16.612814895947427,5.672102368390276,30335,0.3413358327048848
5,4,16.776560788608982,5.7014699763632235,30634,0.3397542942954354
4,5,19.525191675794087,6.621068124851542,35653,0.3390110063260563
1,1,19.971522453450163,6.741022204814112,36468,0.3374392775392336
7,23,20.243702081051477,6.820458851471811,36965,0.3368252986970117
6,1,16.717962760131435,5.626928933018663,30527,0.3364876464089179
7,44,20.44633077765608,6.8795205478133825,37335,0.336375098137467
9,5,19.272179627601314,6.473115179211064,35191,0.3357867442359459
6,40,22.180175246440307,7.425823964942412,40501,0.33470386260891294
5,34,19.64841182913472,6.5748495641649205,35878,0.33453334715352717
7,49,20.40635268346112,6.827121028596754,37262,0.33446698970050975
1,41,20.00273822562979,6.684883224925373,36525,0.33410688211794554
6,34,19.657721796276014,6.563371841533242,35895,0.3337911922912953
7,40,20.39485213581599,6.80452354013572,37241,0.33354789765533016
1,4,19.95618838992333,6.640617856680388,36440,0.33266870040224406
