store,item,week_start,actual_units,forecast_units,daily_error_std,safety_stock_units,target_units,stockout_units,overstock_units,stockout_cost,holding_cost,excess_inventory_value,reorder_cost,total_operating_cost,model
1,1,2017-09-25,21,25.0,7.169705870832324,31.201653985944606,56.2016539859446,0.0,35.2016539859446,0.0,0.43881513872889855,183.04860072691193,35.0,35.4388151387289,seasonal_naive
1,1,2017-10-02,125,156.0,7.169705870832324,31.201653985944606,187.2016539859446,0.0,62.2016539859446,0.0,0.7753904811946519,323.44860072691193,35.0,35.77539048119465,seasonal_naive
1,1,2017-10-09,147,161.0,7.169705870832324,31.201653985944606,192.2016539859446,0.0,45.2016539859446,0.0,0.5634726729754739,235.04860072691193,35.0,35.56347267297547,seasonal_naive
1,1,2017-10-16,157,168.0,7.169705870832324,31.201653985944606,199.2016539859446,0.0,42.2016539859446,0.0,0.5260754127015013,219.44860072691193,35.0,35.5260754127015,seasonal_naive
1,1,2017-10-23,164,132.0,7.169705870832324,31.201653985944606,163.2016539859446,0.7983460140553973,0.0,2.2353688393551123,0.0,0.0,35.0,37.23536883935511,seasonal_naive
1,1,2017-10-30,158,176.0,7.169705870832324,31.201653985944606,207.2016539859446,0.0,49.2016539859446,0.0,0.613335686674104,255.84860072691194,35.0,35.613335686674105,seasonal_naive
1,1,2017-11-06,145,146.0,7.169705870832324,31.201653985944606,177.2016539859446,0.0,32.2016539859446,0.0,0.40141787845492594,167.44860072691193,35.0,35.40141787845493,seasonal_naive
1,1,2017-11-13,167,171.0,7.169705870832324,31.201653985944606,202.2016539859446,0.0,35.2016539859446,0.0,0.43881513872889855,183.04860072691193,35.0,35.4388151387289,seasonal_naive
1,1,2017-11-20,177,138.0,7.169705870832324,31.201653985944606,169.2016539859446,7.798346014055397,0.0,21.835368839355112,0.0,0.0,35.0,56.83536883935511,seasonal_naive
1,1,2017-11-27,133,131.0,7.169705870832324,31.201653985944606,162.2016539859446,0.0,29.201653985944603,0.0,0.36402061818095327,151.84860072691194,35.0,35.36402061818095,seasonal_naive
1,1,2017-12-04,126,98.0,7.169705870832324,31.201653985944606,129.2016539859446,0.0,3.2016539859446027,0.0,0.039911029139857376,16.648600726911933,35.0,35.03991102913986,seasonal_naive
1,1,2017-12-11,117,111.0,7.169705870832324,31.201653985944606,142.2016539859446,0.0,25.201653985944603,0.0,0.31415760448232316,131.04860072691193,35.0,35.314157604482325,seasonal_naive
1,1,2017-12-18,97,123.0,7.169705870832324,31.201653985944606,154.2016539859446,0.0,57.2016539859446,0.0,0.7130617140713642,297.44860072691193,35.0,35.713061714071365,seasonal_naive
1,1,2017-12-25,127,121.0,7.169705870832324,31.201653985944606,152.2016539859446,0.0,25.201653985944603,0.0,0.31415760448232316,131.04860072691193,35.0,35.314157604482325,seasonal_naive
1,2,2017-09-25,60,69.0,12.419295130692378,54.04720310684174,123.04720310684175,0.0,63.04720310684175,0.0,0.7859308880441918,327.8454561555771,35.0,35.78593088804419,seasonal_naive
1,2,2017-10-02,400,397.0,12.419295130692378,54.04720310684174,451.0472031068417,0.0,51.04720310684172,0.0,0.636341846948301,265.44545615557695,35.0,35.6363418469483,seasonal_naive
1,2,2017-10-09,382,431.0,12.419295130692378,54.04720310684174,485.0472031068417,0.0,103.04720310684172,0.0,1.2845610250304929,535.8454561555769,35.0,36.28456102503049,seasonal_naive
1,2,2017-10-16,388,404.0,12.419295130692378,54.04720310684174,458.0472031068417,0.0,70.04720310684172,0.0,0.8731911620167941,364.24545615557696,35.0,35.873191162016795,seasonal_naive
1,2,2017-10-23,415,403.0,12.419295130692378,54.04720310684174,457.0472031068417,0.0,42.04720310684172,0.0,0.5241500661263832,218.64545615557697,35.0,35.52415006612638,seasonal_naive
1,2,2017-10-30,450,410.0,12.419295130692378,54.04720310684174,464.0472031068417,0.0,14.047203106841721,0.0,0.17510897023597216,73.04545615557696,35.0,35.175108970235975,seasonal_naive
1,2,2017-11-06,460,440.0,12.419295130692378,54.04720310684174,494.0472031068417,0.0,34.04720310684172,0.0,0.4244240387291228,177.04545615557694,35.0,35.42442403872912,seasonal_naive
